code,modality,criterion_n,criterion_type,criterion_title,extraction_field,directive,seed_term,ontology,grounded_label,class_id,cui,concept_set,icd10_candidates,icd_source,needs_review,source_criterion
70450,CT,1,CLINICAL_INDICATION,Covered Diagnosis (LCD Group 1 ICD-10),diagnosis,"Find documentation of Diagnosis in the medical record. This can be represented in a variety of ways, examples include: Diagnosis, Diagnoses, diagnosed, diagnose, diagnosing, {Diagnosis}, Diagnostic, Diagnosis Assessment, etc.",DIAGNOSIS,SNOMEDCT,Diagnosis,439401001,C0011900,Diagnosis|Diagnoses|diagnosed|diagnose|diagnosing|{Diagnosis}|Diagnostic|Diagnosis Assessment,R03|R03.0|R70-R79|R80-R82|Z00|Z01,bioportal_fuzzy_review,no,Covered Diagnosis (LCD Group 1 ICD-10)
70450,CT,2,CLINICAL_INDICATION,Medical Appropriateness & Documentation,diagnosis,"Find documentation of Diagnosis in the medical record. This can be represented in a variety of ways, examples include: Diagnosis, Diagnoses, diagnosed, diagnose, diagnosing, {Diagnosis}, Diagnostic, Diagnosis Assessment, etc.",DIAGNOSIS,SNOMEDCT,Diagnosis,439401001,C0011900,Diagnosis|Diagnoses|diagnosed|diagnose|diagnosing|{Diagnosis}|Diagnostic|Diagnosis Assessment,R03|R03.0|R70-R79|R80-R82|Z00|Z01,bioportal_fuzzy_review,no,Medical Appropriateness & Documentation
70450,CT,2,CLINICAL_INDICATION,Medical Appropriateness & Documentation,disease,"Find documentation of Disease in the medical record. This can be represented in a variety of ways, examples include: Disease, Diseases, Condition, disease/disorder, Diseases and Disorders, Clinical disease or syndrome present, Clinical disease AND/OR syndrome, Clinical disease or syndrome, Disease or syndrome present, Disorder, Disorders, Disease or Disorder, etc.",DISEASE,SNOMEDCT,Disease,64572001,C0012634,Disease|Diseases|Condition|disease/disorder|Diseases and Disorders|Clinical disease or syndrome present|Clinical disease AND/OR syndrome|Clinical disease or syndrome|Disease or syndrome present|Disorder|Disorders|Disease or Disorder,E72.02|E74.02|E74.03|E74.04|H81.0|I67.5,bioportal_fuzzy_review,no,Medical Appropriateness & Documentation
70450,CT,2,CLINICAL_INDICATION,Medical Appropriateness & Documentation,history_of,"Find documentation of History of in the medical record. This can be represented in a variety of ways, examples include: History of, Medical History, medical history of, HISTORY MEDICAL, History, Past Medical History, Personal History, H&P.HX, History of (contextual qualifier), Personal Medical History, etc.",HISTORY,SNOMEDCT,History of,392521001,C0262926,History of|Medical History|medical history of|HISTORY MEDICAL|History|Past Medical History|Personal History|H&P.HX|History of (contextual qualifier)|Personal Medical History,Z92|Z92.8|Z92.89,bioportal_fuzzy_review,no,Medical Appropriateness & Documentation
70450,CT,3,DOCUMENTATION,Routine Dental Service Documentation,diagnosis,"Find documentation of Diagnosis in the medical record. This can be represented in a variety of ways, examples include: Diagnosis, Diagnoses, diagnosed, diagnose, diagnosing, {Diagnosis}, Diagnostic, Diagnosis Assessment, etc.",DIAGNOSIS,SNOMEDCT,Diagnosis,439401001,C0011900,Diagnosis|Diagnoses|diagnosed|diagnose|diagnosing|{Diagnosis}|Diagnostic|Diagnosis Assessment,,,no,Routine Dental Service Documentation
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,headache,"Find documentation of Headache in the medical record. This can be represented in a variety of ways, examples include: Headache, Headaches, ache head, HEAD ACHE, Cephalalgia, Cephalalgias, Cephalgia, cephalgias, HEAD PAIN CEPHALGIA, Head Pain, PAIN HEAD, Pain in head, head pained, head pains, Cephalodynia, Cephalodynias, HA - Headache, Have headaches, Cranial Pain, Cranial Pains, Headache, unspecified, etc.",HEADACHE,SNOMEDCT,Headache,25064002,C0018681,"Headache|Headaches|ache head|HEAD ACHE|Cephalalgia|Cephalalgias|Cephalgia|cephalgias|HEAD PAIN CEPHALGIA|Head Pain|PAIN HEAD|Pain in head|head pained|head pains|Cephalodynia|Cephalodynias|HA - Headache|Have headaches|Cranial Pain|Cranial Pains|Headache, unspecified",R51|R51.9,umls_atoms,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,dizziness,"Find documentation of Dizziness in the medical record. This can be represented in a variety of ways, examples include: Dizziness, Dizzyness, Dizzy, WOOZINESS, Woozy, dizzying, etc.",DIZZINESS,SNOMEDCT,Dizziness,404640003,C0012833,Dizziness|Dizzyness|Dizzy|WOOZINESS|Woozy|dizzying,R42,bioportal_fuzzy_review,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,problem,"Find documentation of Problem in the medical record. This can be represented in a variety of ways, examples include: Problem, PROB, Issue, etc.",PROBLEM,SNOMEDCT,Problem,55607006,C0033213,Problem|PROB|Issue,O36.9|P92.9|Z60.9|Z62.9|Z65.9|Z72.9,bioportal_fuzzy_review,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,injury_of_head,"Find documentation of Injury of head in the medical record. This can be represented in a variety of ways, examples include: Injury of head, Head Injury, Superficial, Superficial injury of head, HEAD INJURY SUPERFICIAL, Head Injuries, Superficial, Superficial Head Injuries, Superficial Head Injury, superficial injury head, SUPERFICIAL HEAD TRAUMA, Superficial injury of head, part unspecified, Superficial injury of unspecified part of head, Superficial injury of head, part unspecified, unspecified, Unspecified superficial injury of unspecified part of head, etc.",HEAD INJURY,SNOMEDCT,Injury of head,82271004,C0347536,"Injury of head|Head Injury, Superficial|Superficial injury of head|HEAD INJURY SUPERFICIAL|Head Injuries, Superficial|Superficial Head Injuries|Superficial Head Injury|superficial injury head|SUPERFICIAL HEAD TRAUMA|Superficial injury of head, part unspecified|Superficial injury of unspecified part of head|Superficial injury of head, part unspecified, unspecified|Unspecified superficial injury of unspecified part of head",S00|S00.9|S00.90,umls_atoms,no,Headache / Dizziness Pathway
70450,CT,4,CLINICAL_INDICATION,Headache / Dizziness Pathway,hemorrhage,"Find documentation of Hemorrhage in the medical record. This can be represented in a variety of ways, examples include: Hemorrhage, Hemorrhages, HAEMORRHAGE, haemorrhages, Bleeding, bleeds, bleed, Extravasation of blood, EXTRAVASATION BLOOD, Blood loss, Blood loss of, Bleeding site unspecified, Haemorrhage, unspecified, Hemorrhage, unspecified, bleeding problems, bleeding problem, BLEED_NOS PROBLEM, bleeding/hemorrhage, bleeding hemorrhage, hemorrhage bleeding, Bleeding/haemorrhage, etc.",BLEEDING,SNOMEDCT,Hemorrhage,50960005,C0019080,"Hemorrhage|Hemorrhages|HAEMORRHAGE|haemorrhages|Bleeding|bleeds|bleed|Extravasation of blood|EXTRAVASATION BLOOD|Blood loss|Blood loss of|Bleeding site unspecified|Haemorrhage, unspecified|Hemorrhage, unspecified|bleeding problems|bleeding problem|BLEED_NOS PROBLEM|bleeding/hemorrhage|bleeding hemorrhage|hemorrhage bleeding|Bleeding/haemorrhage",R58,umls_atoms,no,Headache / Dizziness Pathway
